geometry,distance_along_m,heading
POINT (-65.5446415 49.2521785),8177.337739556516,72.96463361591691
POINT (-65.544539 49.252199),8185.140591588413,68.9420250192403
POINT (-65.54415900000001 49.2522945),8214.774567935829,68.94198785264905
POINT (-65.543779 49.25239),8244.40849075169,67.5713323799074
POINT (-65.543148 49.25256),8294.085639758307,67.57126279301417
POINT (-65.542517 49.25273),8343.762632585289,66.1157714200246
POINT (-65.542043 49.252866999999995),8381.48501073499,66.11571255032436
POINT (-65.541569 49.253004),8419.207295670696,64.16976383398855
POINT (-65.54094549999999 49.253201),8469.61028259094,64.16967416165971
POINT (-65.540322 49.253398),8520.013096606293,65.5117667484862
POINT (-65.5403035 49.2534035),8521.492320550027,65.51176436127025
POINT (-65.540285 49.253409),8522.971544347603,65.51151559381191
POINT (-65.5397115 49.2535795),8568.827410074136,65.51144094270654
POINT (-65.539138 49.25375),8614.683136284872,69.31218095149808
POINT (-65.538925 49.2538025),8631.252559761459,69.31216081427976
POINT (-65.538712 49.253855),8647.821966687485,74.7551634096331
POINT (-65.538504 49.253892),8663.513661852596,74.7551525182044
POINT (-65.538296 49.253929),8679.20534501611,81.4023041442149
POINT (-65.537916 49.253966500000004),8707.18213134545,81.40229771136035
POINT (-65.537536 49.254004),8735.158893427835,86.01627852160294
POINT (-65.537349 49.2540125),8748.80534171494,86.01627783961612
POINT (-65.537162 49.254021),8762.451786826774,93.05207993705756
POINT (-65.5369465 49.2540135),8778.162415803341,93.05207947420718
POINT (-65.536731 49.254006),8793.873046036852,98.36086966333158
POINT (-65.536215 49.2539565),8831.839292475443,98.36086140031568
POINT (-65.535699 49.253907),8869.80556964102,91.94408056835073
POINT (-65.534819 49.2538875),8933.906671432114,91.94407980158991
POINT (-65.533939 49.253868),8998.007779864813,93.32002671187723
POINT (-65.5328035 49.253825),9080.810951857575,93.32002382601007
POINT (-65.531668 49.253782),9163.614164612743,96.72645592888841
POINT (-65.531038 49.253733499999996),9209.794623002768,96.72644938011791
POINT (-65.530408 49.253685),9255.975116472975,93.80907718335459
POINT (-65.52896999999999 49.2536225),9360.893013471477,93.80907237460536
POINT (-65.527532 49.25356),9465.810992819339,90.7851535089045
POINT (-65.52647049999999 49.2535505),9543.096226909363,90.7851533575668
POINT (-65.525409 49.253541),9620.381448875409,87.97113188946207
POINT (-65.5251495 49.253547),9639.28502242982,87.97113164521136
POINT (-65.52489 49.253553),9658.188592082663,93.61777203363005
POINT (-65.524575 49.25354),9681.166351875467,93.61777108251977
POINT (-65.52426 49.253527),9704.144115305093,0.0
POINT (-65.52426 49.253527),9704.144115305093,0.0
POINT (-65.52426 49.253527),9704.144115305093,93.24765862515346
POINT (-65.5242465 49.2535265),9705.128497224716,93.24765865076051
POINT (-65.524233 49.253526),9706.112879151658,96.1609658474215
POINT (-65.523495 49.253474),9760.15020990621,96.1609594069003
POINT (-65.522757 49.253422),9814.18758372246,91.96117117620724
POINT (-65.5219965 49.253405),9869.584913021214,91.96117050060252
POINT (-65.521236 49.253388),9924.982247515682,84.98743483486004
POINT (-65.520546 49.2534275),9975.406552513694,84.98743084377804
POINT (-65.519856 49.253467),10025.830806142403,84.98743084377804
